ID;birthcountry;age;colorblind;gender;experience;maptype;taraxa;phrengal;kovaire;cameron;ajaxa;centralia;laurenia;gelesia;ravinia;midian;nostate;idk;confidence
163;Germany;35;No;Male;Yes;b;No;No;No;No;No;No;No;No;No;No;Yes;No;4
166;Germany;56;No;Female;No;s;No;No;No;No;No;No;No;No;No;No;Yes;No;3
169;France;27;No;Male;Yes;b;No;No;No;No;No;No;No;No;No;No;Yes;No;1
170;United Kingdom;51;No;Male;Yes;b;No;No;No;No;No;No;No;No;No;No;Yes;No;4
171;United States;45;No;Male;Yes;s;Yes;No;No;Yes;No;No;No;No;No;No;No;No;2
175;Canada;29;No;Female;Yes;b;Yes;No;Yes;No;No;No;No;No;No;Yes;No;No;1
177;United States;36;No;Male;Yes;s;No;No;No;No;No;No;No;No;No;No;Yes;No;4
178;Israel;38;No;Male;Yes;s;No;No;No;No;No;No;No;No;No;No;Yes;No;4
179;Germany;32;No;Male;Yes;s;No;No;No;Yes;No;No;No;No;No;No;No;No;1
183;France;43;No;Male;Yes;b;No;No;No;No;No;No;No;No;No;No;Yes;No;4
186;Other / I'd rather not say;48;No;I'd rather not say;No;b;No;No;No;No;No;No;No;No;No;No;Yes;No;4
189;France;30;No;Diverse;Yes;b;No;No;No;No;No;No;No;No;No;No;Yes;No;4
193;Germany;24;No;I'd rather not say;Yes;s;No;No;No;No;No;No;No;No;No;No;Yes;No;4
202;Germany;27;No;Female;No;b;Yes;No;No;Yes;Yes;No;No;No;No;No;No;No;3
208;United States;42;No;Female;Yes;s;No;No;No;No;No;No;No;No;Yes;No;No;No;3
209;France;36;No;Male;No;s;No;No;No;Yes;No;No;No;No;No;No;No;No;1
219;United Kingdom;64;No;I'd rather not say;No;s;No;No;No;No;No;No;No;No;No;No;No;Yes;
220;United States;53;No;Female;No;s;No;No;No;No;No;No;No;Yes;No;No;No;No;2
225;Germany;32;Yes;Male;Yes;b;No;No;No;No;No;No;No;No;No;No;Yes;No;5
228;Germany;18;No;Male;No;s;No;No;No;No;No;No;No;Yes;No;No;No;No;3
229;France;31;No;Diverse;No;b;No;No;No;No;No;No;No;Yes;No;No;No;No;3
234;France;35;No;I'd rather not say;No;b;No;No;No;No;No;No;No;No;No;No;Yes;No;4
236;France;38;No;Diverse;No;b;No;No;No;No;No;No;No;No;No;No;Yes;No;5
237;Brazil;30;No;Diverse;No;s;No;No;No;No;No;No;No;Yes;No;No;No;No;1
238;United States;37;No;Diverse;Yes;b;No;No;No;No;No;No;No;No;No;No;Yes;No;5
244;France;42;No;Male;No;s;No;No;No;No;No;No;No;No;No;No;Yes;No;4
248;United States;49;No;Female;No;s;No;No;No;No;No;No;No;No;No;No;Yes;No;4
250;France;31;No;Male;No;s;Yes;No;No;Yes;No;Yes;No;No;No;No;No;No;2
251;Finland;48;No;Female;No;s;No;No;No;No;No;No;No;No;No;No;Yes;No;3
255;Finland;37;No;Diverse;No;b;No;No;Yes;Yes;Yes;No;No;No;No;Yes;No;No;3
256;United States;44;No;Male;No;s;No;No;No;No;No;No;No;No;No;No;Yes;No;5
258;Colombia;26;No;Female;No;b;No;No;No;Yes;No;No;No;Yes;No;No;No;No;3
264;United States;27;No;Male;No;s;No;No;No;No;No;No;No;No;No;No;Yes;No;4
267;Canada;36;No;Male;No;s;No;No;No;No;No;No;No;No;No;No;Yes;No;3
273;Netherlands;41;No;Male;Yes;b;No;No;No;No;No;No;No;No;No;No;Yes;No;5
279;Netherlands;31;No;Male;No;b;No;No;No;No;No;No;No;No;No;No;Yes;No;4
280;Sweden;25;No;Male;No;b;No;No;No;No;No;Yes;No;No;Yes;No;No;No;2
283;Germany;39;No;Male;No;b;No;No;No;No;No;No;No;No;No;No;No;Yes;
284;United States;55;Yes;Male;Yes;s;No;No;No;Yes;No;No;No;No;Yes;No;No;No;1
285;Germany;39;No;Male;No;b;No;No;No;No;No;No;No;No;No;No;Yes;No;5
286;Belgium;44;No;Female;No;s;Yes;No;No;Yes;No;No;No;No;No;No;No;No;3
287;United Kingdom;47;No;Male;No;s;No;No;No;No;No;No;No;No;No;No;Yes;No;4
288;United Kingdom;38;No;Male;No;b;No;No;No;No;No;No;No;No;No;No;Yes;No;5
292;United States;48;No;Female;Yes;s;No;No;No;Yes;No;No;No;No;No;No;No;No;4
294;Germany;35;No;Male;Yes;b;No;No;No;No;No;No;No;No;No;No;Yes;No;2
296;Colombia;25;No;Female;No;s;No;No;No;Yes;No;No;Yes;Yes;No;No;No;No;5
298;Canada;41;No;Female;No;b;No;No;No;Yes;No;No;No;No;No;No;No;No;3
299;United Kingdom;59;No;Male;Yes;s;No;No;No;No;No;No;No;No;No;No;Yes;No;3
300;United States;35;No;Diverse;No;s;No;No;No;Yes;No;No;No;No;No;No;Yes;No;3
301;Germany;55;No;Male;Yes;b;No;No;No;No;Yes;No;No;Yes;No;No;No;No;3
302;United States;55;No;Male;Yes;s;No;No;Yes;No;No;No;No;No;No;No;Yes;No;2
303;United Kingdom;43;No;Female;No;s;Yes;No;No;Yes;No;No;No;Yes;No;Yes;No;No;2
