ID;birthcountry;age;colorblind;gender;experience;maptype;time;relation;confidence;happiness;sadness;fear;disgust;anger;surprise;none;taraxa;phrengal;kovaire;cameron;ajaxa;centralia;laurenia;gelesia;ravinia;midian;nostate;idk
91;Colombia;28;No;Male;No;s;105,34;As one increases, so does the other;1;No;No;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;Yes;No;No
95;Colombia;69;No;Male;No;b;167,52;As one increases, so does the other;4;No;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No
96;Colombia;56;No;Female;No;b;128,31;I have no clue;;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes
99;Spain;64;No;Female;Yes;s;101,78;I have no clue;;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes
102;Colombia;27;No;Female;No;s;122,92;As one increases, so does the other;4;No;No;No;No;No;Yes;No;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No
104;Colombia;25;No;Female;No;s;32,95;As one increases, so does the other;4;No;No;No;No;No;No;Yes;Yes;No;No;No;No;Yes;No;No;No;Yes;No;No
108;Colombia;34;Yes;Female;No;b;11,38;As one increases, so does the other;4;No;No;No;No;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No
113;Colombia;27;No;Male;No;s;43,85;As one increases, so does the other;5;No;No;Yes;No;No;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No
117;Colombia;25;No;Female;No;s;57,93;As one increases, so does the other;5;No;Yes;No;No;No;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No
122;China;24;No;Male;Yes;b;21,04;As one increases, so does the other;4;No;No;Yes;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No
124;Colombia;29;No;Female;No;b;35,29;As one increases, so does the other;4;No;Yes;No;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No
125;Mexico;27;No;Male;Yes;s;28,71;As one increases, so does the other;4;No;No;No;Yes;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No
126;Other / I'd rather not say;35;No;Female;Yes;b;31,18;As one increases, so does the other;5;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No
128;Other / I'd rather not say;26;No;I'd rather not say;Yes;b;37,08;As one increases, so does the other;3;No;Yes;Yes;No;Yes;No;No;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No
130;Germany;27;No;Male;Yes;s;45,7;As one increases, so does the other;5;No;Yes;No;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No
131;Mexico;25;No;Male;Yes;s;48,87;As one increases, so does the other;5;No;Yes;No;No;No;No;No;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No
132;Portugal;22;No;Male;No;b;32,85;As one increases, so does the other;5;No;Yes;Yes;No;No;No;No;Yes;No;No;No;Yes;Yes;Yes;No;No;Yes;No;No
133;United States;27;No;Female;No;b;21,15;As one increases, so does the other;5;No;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;Yes;No;Yes;No;No;No;No;No;No
138;Germany;20;No;Male;No;b;49,38;As one increases, so does the other;4;No;No;No;Yes;No;No;No;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No
141;Germany;57;No;Female;No;s;42,41;As one increases, so does the other;5;No;Yes;No;No;No;No;No;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No
144;Germany;20;No;Male;No;b;60,87;As one increases, so does the other;4;No;No;Yes;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No
145;Germany;55;No;Male;No;b;67,04;As one increases, so does the other;5;No;No;No;Yes;No;No;No;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No
148;Germany;22;No;Male;No;s;78,83;As one increases, so does the other;2;No;No;No;No;No;No;Yes;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No
150;Germany;53;No;Female;No;s;78,63;As one increases, so does the other;5;No;No;No;No;No;Yes;No;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No
151;Colombia;38;No;Female;No;s;68,88;As one increases, so does the other;5;No;No;No;No;No;No;Yes;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No
152;Germany;18;No;Female;No;b;58,31;As one increases, so does the other;5;No;Yes;Yes;No;No;No;No;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No
154;Israel;27;No;Male;Yes;b;29,06;As one increases, so does the other;4;No;No;No;No;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No
156;Mexico;27;No;Female;Yes;b;19,75;As one increases, so does the other;5;No;No;Yes;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No
162;United States;53;No;Male;Yes;b;34,94;As one increases, so does the other;5;No;No;No;No;No;No;Yes;Yes;No;No;Yes;No;Yes;No;No;No;No;No;No
163;Germany;35;No;Male;Yes;b;33,31;As one increases, so does the other;4;No;No;Yes;No;No;No;No;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No
166;Germany;56;No;Female;No;b;89,59;As one increases, so does the other;4;No;No;Yes;No;Yes;No;No;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No
169;France;27;No;Male;Yes;s;18,26;As one increases, so does the other;4;No;No;No;Yes;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No
170;United Kingdom;51;No;Male;Yes;b;40,98;As one increases, so does the other;5;No;Yes;No;No;Yes;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No
171;United States;45;No;Male;Yes;s;35,39;As one increases, so does the other;4;No;Yes;No;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No
175;Canada;29;No;Female;Yes;b;17,88;As one increases, so does the other;3;No;No;Yes;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No
177;United States;36;No;Male;Yes;s;21,48;As one increases, so does the other;4;No;No;No;No;No;No;Yes;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No
178;Israel;38;No;Male;Yes;s;45,08;As one increases, so does the other;5;No;No;No;No;No;No;Yes;Yes;No;No;Yes;No;No;No;No;No;No;No;No
179;Germany;32;No;Male;Yes;b;44,17;As one increases, so does the other;4;No;No;Yes;No;No;Yes;No;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No
183;France;43;No;Male;Yes;b;33,15;As one increases, so does the other;5;No;Yes;Yes;Yes;No;No;No;Yes;No;No;Yes;No;No;No;No;Yes;No;No;No
186;Other / I'd rather not say;48;No;I'd rather not say;No;s;85,98;As one increases, so does the other;3;No;Yes;No;No;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No
189;France;30;No;Diverse;Yes;b;57,4;As one increases, so does the other;5;No;No;Yes;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No
193;Germany;24;No;I'd rather not say;Yes;b;26,48;As one increases, so does the other;4;No;Yes;Yes;No;Yes;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No
202;Germany;27;No;Female;No;s;35,18;As one increases, so does the other;5;No;No;No;Yes;No;No;No;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No
208;United States;42;No;Female;Yes;b;26,45;As one increases, so does the other;4;No;Yes;No;No;No;No;No;Yes;No;No;Yes;No;Yes;No;No;No;No;No;No
