ID;birthcountry;age;colorblind;gender;experience;maptype;city1;city2;city3;city4;city5;city6;city7;city8;city9;city10;city11
175;Canada;29;No;Female;Yes;b;centralia;laconis;;;;;;;;;
177;United States;36;No;Male;Yes;b;roscovia;ajax;mustang;cheyenna;havare;;;;;;
178;Israel;38;No;Male;Yes;s;lakoma;roscovina;brevia;centralis;mustang;ajaxia;;;;;
179;Germany;32;No;Male;Yes;b;cheyenna;athenia;mustang;;;;;;;;
183;France;43;No;Male;Yes;s;roscovina;ajax;;;;;;;;;
186;Other / I'd rather not say;48;No;I'd rather not say;No;s;centralia;araxia;;;;;;;;;
189;France;30;No;Diverse;Yes;s;ajax;cheyenna;centralis;roscovina;mustang;kara;athenia;;;;
193;Germany;24;No;I'd rather not say;Yes;b;cheyenna;centralia;;;;;;;;;
202;Germany;27;No;Female;No;b;rascovia;mustang;athenia;;;;;;;;
208;United States;42;No;Female;Yes;s;roscovina;brevia;mustang;ajax;harare;cheyenna;centralis;kara;;;
209;France;36;No;Male;No;s;centralis;;;;;;;;;;
219;United Kingdom;64;No;I'd rather not say;No;b;cheyanna;roscovina;;;;;;;;;
220;United States;53;No;Female;No;s;arcadia;roskovina;ajax;mustang;;;;;;;
225;Germany;32;Yes;Male;Yes;b;cheyenna;mustang;centralia;;;;;;;;
228;Germany;18;No;Male;No;b;ajax;athenia;centralis;;;;;;;;
229;France;31;No;Diverse;No;b;ajax;roscovina;athena;centria;;;;;;;
234;France;35;No;I'd rather not say;No;b;roscovina;athenia;ajax;;;;;;;;
236;France;38;No;Diverse;No;s;cheyelle;lhakoma;mustang;centralis;roscovina;;;;;;
237;Brazil;30;No;Diverse;No;b;arcadia;kara;centralis;mustang;;;;;;;
238;United States;37;No;Diverse;Yes;b;roscovina;centralis;mustang;ajax;lu-something;;;;;;
244;France;42;No;Male;No;s;roscovina;arcadia;ajaxa;brevia;mustang;cheyenna;;;;;
248;United States;49;No;Female;No;b;cheyenne;roscovinia;ajax;centralia;;;;;;;
250;France;31;No;Male;No;b;mustang;ajax;leukhoma;;;;;;;;
251;Finland;48;No;Female;No;s;ajax;musang;kara;chyanne;;;;;;;
255;Finland;37;No;Diverse;No;s;ajax;ardadia;cheyenna;lakhoma;;;;;;;
256;United States;44;No;Male;No;b;roscoe;centralia;cheyenne;athenia;lorkahn;;;;;;
258;Colombia;26;No;Female;No;s;roscovina;brevia;ajax;mustang;centralia;;;;;;
264;United States;27;No;Male;No;b;centralis;ajax;mustang;lakhoma;;;;;;;
267;Canada;36;No;Male;No;s;lakhoma;centralis;ajax;cheyenna;mustang;roskovina;;;;;
273;Netherlands;41;No;Male;Yes;s;ajax;centralis;randovia;;;;;;;;
279;Netherlands;31;No;Male;No;b;roscovina;centralia;ajax;havare;mustang;;;;;;
280;Sweden;25;No;Male;No;s;ajax;centralis;mustang;brevia;;;;;;;
283;Germany;39;No;Male;No;b;brevia;centralia;lakhoma;;;;;;;;
284;United States;55;Yes;Male;Yes;b;mustang;kara;athenia;cheyenna;;;;;;;
285;Germany;39;No;Male;No;b;ajax;centralia;;;;;;;;;
286;Belgium;44;No;Female;No;s;cheyenna;ajax;kara;athenia;centralia;mustang;brevia;;;;
287;United Kingdom;47;No;Male;No;b;brevia;mustang;korovia;athenia;;;;;;;
288;United Kingdom;38;No;Male;No;s;roscovina;centralis;ajax;cheyenne;harvere;arcova;kara;;;;
