ID;birthcountry;age;colorblind;gender;experience;maptype;place1;place2;place3;place4;place5;place6;place7;place8;place9;place10;place11;place12;place13;place14;place15;place16;place17;place18;place19
141;Germany;57;No;Female;No;s;bank of randalia;st. michaels cathedrale;st. victors cath.;library city;monument;theater;museum;hospital;many hotels;many restaurants;;;;;;;;;
144;Germany;20;No;Male;No;b;midrown medical center;roscovina tower;agnes theater;embers;;;;;;;;;;;;;;;
145;Germany;55;No;Male;No;b;st. michaels cathedral;randalian bank;harbour park;;;;;;;;;;;;;;;;
148;Germany;22;No;Male;No;b;;;;;;;;;;;;;;;;;;;
150;Germany;53;No;Female;No;b;bank;health care;library;restaurant;park;;;;;;;;;;;;;;
151;Colombia;38;No;Female;No;b;theater 1;bank1;bank 2;hotel 1;hotel 2;hotel 3;theater 2;city center;embers;medical center;;;;;;;;;
152;Germany;18;No;Female;No;s;a... theatre;;;;;;;;;;;;;;;;;;
154;Israel;27;No;Male;Yes;s;randila hotel;xhvier hotel;randila monument;;;;;;;;;;;;;;;;
156;Mexico;27;No;Female;Yes;b;;;;;;;;;;;;;;;;;;;
162;United States;53;No;Male;Yes;s;street 1;street 2;street 3;street 4;street 5;street 6;;;;;;;;;;;;;
163;Germany;35;No;Male;Yes;b;randalia monument;st michael church;;;;;;;;;;;;;;;;;
166;Germany;56;No;Female;No;b;;;;;;;;;;;;;;;;;;;
169;France;27;No;Male;Yes;s;;;;;;;;;;;;;;;;;;;
170;United Kingdom;51;No;Male;Yes;s;;;;;;;;;;;;;;;;;;;
171;United States;45;No;Male;Yes;b;randalan tower;st michaels church;mill;museam;plaza;;;;;;;;;;;;;;
175;Canada;29;No;Female;Yes;b;church;cafe;toilet;church superior;;;;;;;;;;;;;;;
177;United States;36;No;Male;Yes;s;embers;st. michaels cathedral;bank of randalia;civic center theatre;randalia monument;;;;;;;;;;;;;;
178;Israel;38;No;Male;Yes;b;randalia monument;museum;hotel;;;;;;;;;;;;;;;;
179;Germany;32;No;Male;Yes;b;hygria avenue;rangalia bank;;;;;;;;;;;;;;;;;
183;France;43;No;Male;Yes;s;st mark cathedral;grenier street;empire avenue;;;;;;;;;;;;;;;;
186;Other / I'd rather not say;48;No;I'd rather not say;No;s;st. michael’s;st victors;dolby square;civic centre;great hotel;bank of roscovina;roscovina hospital;randalia square;harbor square;some tower;a monument;theatre;several restaurant;a few smaller hotels;;;;;
189;France;30;No;Diverse;Yes;s;dobia park;bank of roscovina;randavian bank;university;the mill;;;;;;;;;;;;;;
193;Germany;24;No;I'd rather not say;Yes;s;lucy statue;st. victor something;hotel superior;hotel xavier;;;;;;;;;;;;;;;
202;Germany;27;No;Female;No;b;lucy monument;st michael’s cathedral;xavier’s hotel;randalia bank;randalia monument;;;;;;;;;;;;;;
208;United States;42;No;Female;Yes;b;hotel superior;bank of randalia;randalia museum of art;;;;;;;;;;;;;;;;
209;France;36;No;Male;No;s;;;;;;;;;;;;;;;;;;;
219;United Kingdom;64;No;I'd rather not say;No;s;lucy statue;roscovina art museum;st michaels cathedral;midtown medical centre;hotel superior;;;;;;;;;;;;;;
220;United States;53;No;Female;No;b;lucy statue;library;cathedrals;;;;;;;;;;;;;;;;
225;Germany;32;Yes;Male;Yes;s;randalia monument;harbor green;randalia tower;agnes theatee;street 1;street 2;street 3;cathedral;;;;;;;;;;;
228;Germany;18;No;Male;No;s;bank of roscovia;;;;;;;;;;;;;;;;;;
229;France;31;No;Diverse;No;s;;;;;;;;;;;;;;;;;;;
234;France;35;No;I'd rather not say;No;b;hotel superior;civic theatre;;;;;;;;;;;;;;;;;
236;France;38;No;Diverse;No;s;randalia bank;roscovina bank;randalia monument;;;;;;;;;;;;;;;;
237;Brazil;30;No;Diverse;No;s;empire street;folk street;hydra street;;;;;;;;;;;;;;;;
